category_id,category_name
1,Electronics
2,Mobile & Accessories
3,Computers & Laptops
4,Home Appliances
5,Kitchenware
6,Men's Fashion
7,Women's Fashion
8,Kids & Toys
9,Footwear
10,Beauty & Personal Care
11,Books & Stationery
12,Sports & Fitness
13,Automotive
14,Furniture
15,Home Decor
16,Groceries
17,Snacks & Beverages
18,Pet Supplies
19,Jewelry & Watches
20,Luggage & Bags
21,Gaming
22,Cameras & Audio
23,Health & Wellness
24,Garden & Outdoor
25,Office Supplies
26,Smart Home
27,Baby Care
28,Musical Instruments
29,Crafts & Sewing
30,Industrial & Tools
