inventory_id,product_id,stock_quantity,reorder_level,warehouse,last_updated
1,1,152,100,West Hub (Mumbai),2026-08-05
2,2,362,20,North Hub (Delhi),2026-08-05
3,3,361,10,South Hub (Bengaluru),2026-08-05
4,4,379,10,North Hub (Delhi),2026-08-05
5,5,268,50,North Hub (Delhi),2026-08-05
6,6,151,50,North Hub (Delhi),2026-08-05
7,7,120,10,North Hub (Delhi),2026-08-05
8,8,155,100,North Hub (Delhi),2026-08-05
9,9,179,100,East Hub (Kolkata),2026-08-05
10,10,452,100,North Hub (Delhi),2026-08-05
11,11,280,20,East Hub (Kolkata),2026-08-05
12,12,8,50,East Hub (Kolkata),2026-08-05
13,13,165,50,East Hub (Kolkata),2026-08-05
14,14,199,20,East Hub (Kolkata),2026-08-05
15,15,323,10,South Hub (Bengaluru),2026-08-05
16,16,5,10,North Hub (Delhi),2026-08-05
17,17,191,20,East Hub (Kolkata),2026-08-05
18,18,414,50,West Hub (Mumbai),2026-08-05
19,19,486,20,East Hub (Kolkata),2026-08-05
20,20,397,20,South Hub (Bengaluru),2026-08-05
21,21,461,20,North Hub (Delhi),2026-08-05
22,22,198,10,South Hub (Bengaluru),2026-08-05
23,23,478,20,South Hub (Bengaluru),2026-08-05
24,24,37,20,West Hub (Mumbai),2026-08-05
25,25,448,100,North Hub (Delhi),2026-08-05
26,26,219,20,East Hub (Kolkata),2026-08-05
27,27,453,10,North Hub (Delhi),2026-08-05
28,28,335,10,West Hub (Mumbai),2026-08-05
29,29,88,50,East Hub (Kolkata),2026-08-05
30,30,144,100,South Hub (Bengaluru),2026-08-05
31,31,34,20,North Hub (Delhi),2026-08-05
32,32,177,10,East Hub (Kolkata),2026-08-05
33,33,488,100,East Hub (Kolkata),2026-08-05
34,34,144,10,East Hub (Kolkata),2026-08-05
35,35,342,50,East Hub (Kolkata),2026-08-05
36,36,0,20,West Hub (Mumbai),2026-08-05
37,37,97,50,South Hub (Bengaluru),2026-08-05
38,38,237,10,East Hub (Kolkata),2026-08-05
39,39,394,10,North Hub (Delhi),2026-08-05
40,40,372,100,North Hub (Delhi),2026-08-05
41,41,275,50,East Hub (Kolkata),2026-08-05
42,42,12,20,North Hub (Delhi),2026-08-05
43,43,364,50,West Hub (Mumbai),2026-08-05
44,44,57,50,South Hub (Bengaluru),2026-08-05
45,45,363,50,South Hub (Bengaluru),2026-08-05
46,46,404,20,East Hub (Kolkata),2026-08-05
47,47,142,100,North Hub (Delhi),2026-08-05
48,48,62,20,North Hub (Delhi),2026-08-05
49,49,235,50,West Hub (Mumbai),2026-08-05
50,50,484,50,North Hub (Delhi),2026-08-05
51,51,64,50,East Hub (Kolkata),2026-08-05
52,52,268,50,South Hub (Bengaluru),2026-08-05
53,53,162,100,North Hub (Delhi),2026-08-05
54,54,22,10,South Hub (Bengaluru),2026-08-05
55,55,482,100,South Hub (Bengaluru),2026-08-05
56,56,145,100,North Hub (Delhi),2026-08-05
57,57,18,10,South Hub (Bengaluru),2026-08-05
58,58,85,20,North Hub (Delhi),2026-08-05
59,59,388,20,West Hub (Mumbai),2026-08-05
60,60,366,20,West Hub (Mumbai),2026-08-05
61,61,438,100,North Hub (Delhi),2026-08-05
62,62,374,50,South Hub (Bengaluru),2026-08-05
63,63,84,20,East Hub (Kolkata),2026-08-05
64,64,226,20,South Hub (Bengaluru),2026-08-05
65,65,11,100,East Hub (Kolkata),2026-08-05
66,66,171,10,South Hub (Bengaluru),2026-08-05
67,67,61,10,South Hub (Bengaluru),2026-08-05
68,68,182,50,South Hub (Bengaluru),2026-08-05
69,69,82,100,North Hub (Delhi),2026-08-05
70,70,156,10,North Hub (Delhi),2026-08-05
71,71,404,20,South Hub (Bengaluru),2026-08-05
72,72,449,50,South Hub (Bengaluru),2026-08-05
73,73,298,10,West Hub (Mumbai),2026-08-05
74,74,70,50,South Hub (Bengaluru),2026-08-05
75,75,9,20,South Hub (Bengaluru),2026-08-05
76,76,118,10,West Hub (Mumbai),2026-08-05
77,77,198,20,South Hub (Bengaluru),2026-08-05
78,78,182,20,East Hub (Kolkata),2026-08-05
79,79,258,50,South Hub (Bengaluru),2026-08-05
80,80,464,50,East Hub (Kolkata),2026-08-05
81,81,470,10,West Hub (Mumbai),2026-08-05
82,82,303,100,West Hub (Mumbai),2026-08-05
83,83,117,20,West Hub (Mumbai),2026-08-05
84,84,381,10,North Hub (Delhi),2026-08-05
85,85,378,20,West Hub (Mumbai),2026-08-05
86,86,298,10,West Hub (Mumbai),2026-08-05
87,87,196,50,North Hub (Delhi),2026-08-05
88,88,166,100,West Hub (Mumbai),2026-08-05
89,89,94,20,West Hub (Mumbai),2026-08-05
90,90,247,20,North Hub (Delhi),2026-08-05
91,91,57,50,North Hub (Delhi),2026-08-05
92,92,360,100,North Hub (Delhi),2026-08-05
93,93,177,100,South Hub (Bengaluru),2026-08-05
94,94,91,100,East Hub (Kolkata),2026-08-05
95,95,254,50,West Hub (Mumbai),2026-08-05
96,96,175,100,West Hub (Mumbai),2026-08-05
97,97,135,20,South Hub (Bengaluru),2026-08-05
98,98,258,50,West Hub (Mumbai),2026-08-05
99,99,97,100,North Hub (Delhi),2026-08-05
100,100,217,100,East Hub (Kolkata),2026-08-05
101,101,92,50,South Hub (Bengaluru),2026-08-05
102,102,444,10,East Hub (Kolkata),2026-08-05
103,103,47,100,North Hub (Delhi),2026-08-05
104,104,108,10,East Hub (Kolkata),2026-08-05
105,105,78,10,East Hub (Kolkata),2026-08-05
106,106,173,50,South Hub (Bengaluru),2026-08-05
107,107,37,50,North Hub (Delhi),2026-08-05
108,108,174,10,North Hub (Delhi),2026-08-05
109,109,57,20,East Hub (Kolkata),2026-08-05
110,110,455,100,East Hub (Kolkata),2026-08-05
111,111,302,10,North Hub (Delhi),2026-08-05
112,112,193,50,North Hub (Delhi),2026-08-05
113,113,130,100,South Hub (Bengaluru),2026-08-05
114,114,49,10,North Hub (Delhi),2026-08-05
115,115,119,100,South Hub (Bengaluru),2026-08-05
116,116,344,100,East Hub (Kolkata),2026-08-05
117,117,76,50,East Hub (Kolkata),2026-08-05
118,118,177,50,East Hub (Kolkata),2026-08-05
119,119,111,10,North Hub (Delhi),2026-08-05
120,120,235,100,North Hub (Delhi),2026-08-05
121,121,440,10,East Hub (Kolkata),2026-08-05
122,122,185,100,North Hub (Delhi),2026-08-05
123,123,265,50,West Hub (Mumbai),2026-08-05
124,124,219,10,South Hub (Bengaluru),2026-08-05
125,125,277,20,West Hub (Mumbai),2026-08-05
126,126,165,50,East Hub (Kolkata),2026-08-05
127,127,277,50,North Hub (Delhi),2026-08-05
128,128,319,10,East Hub (Kolkata),2026-08-05
129,129,436,50,North Hub (Delhi),2026-08-05
130,130,19,10,East Hub (Kolkata),2026-08-05
131,131,386,100,North Hub (Delhi),2026-08-05
132,132,456,20,West Hub (Mumbai),2026-08-05
133,133,407,10,East Hub (Kolkata),2026-08-05
134,134,192,100,West Hub (Mumbai),2026-08-05
135,135,123,100,South Hub (Bengaluru),2026-08-05
136,136,25,20,East Hub (Kolkata),2026-08-05
137,137,230,10,West Hub (Mumbai),2026-08-05
138,138,295,10,North Hub (Delhi),2026-08-05
139,139,204,20,South Hub (Bengaluru),2026-08-05
140,140,315,20,East Hub (Kolkata),2026-08-05
141,141,61,10,North Hub (Delhi),2026-08-05
142,142,333,20,South Hub (Bengaluru),2026-08-05
143,143,310,20,West Hub (Mumbai),2026-08-05
144,144,379,50,West Hub (Mumbai),2026-08-05
145,145,7,10,South Hub (Bengaluru),2026-08-05
146,146,285,100,North Hub (Delhi),2026-08-05
147,147,219,20,South Hub (Bengaluru),2026-08-05
148,148,271,50,North Hub (Delhi),2026-08-05
149,149,5,20,North Hub (Delhi),2026-08-05
150,150,44,100,South Hub (Bengaluru),2026-08-05
151,151,491,50,West Hub (Mumbai),2026-08-05
152,152,350,20,North Hub (Delhi),2026-08-05
153,153,212,20,East Hub (Kolkata),2026-08-05
154,154,67,100,West Hub (Mumbai),2026-08-05
155,155,444,10,West Hub (Mumbai),2026-08-05
156,156,23,50,South Hub (Bengaluru),2026-08-05
157,157,376,100,North Hub (Delhi),2026-08-05
158,158,439,50,South Hub (Bengaluru),2026-08-05
159,159,233,100,North Hub (Delhi),2026-08-05
160,160,98,50,West Hub (Mumbai),2026-08-05
161,161,378,20,North Hub (Delhi),2026-08-05
162,162,188,100,East Hub (Kolkata),2026-08-05
163,163,224,10,North Hub (Delhi),2026-08-05
164,164,108,20,East Hub (Kolkata),2026-08-05
165,165,486,50,East Hub (Kolkata),2026-08-05
166,166,4,100,North Hub (Delhi),2026-08-05
167,167,264,10,West Hub (Mumbai),2026-08-05
168,168,377,10,South Hub (Bengaluru),2026-08-05
169,169,125,50,West Hub (Mumbai),2026-08-05
170,170,122,100,North Hub (Delhi),2026-08-05
171,171,460,10,West Hub (Mumbai),2026-08-05
