order_id,customer_id,employee_id,payment_id,order_date,order_status
1,2862,48,1,2025-07-23,Delivered
2,717,89,2,2025-03-01,Delivered
3,9716,30,3,2025-06-27,Delivered
4,9437,51,4,2026-04-23,Delivered
5,9026,48,5,2024-08-17,Delivered
6,7636,23,6,2026-07-11,Delivered
7,1162,70,7,2024-10-28,Pending
8,1624,53,8,2025-07-04,Delivered
9,7828,48,9,2025-11-26,Delivered
10,506,31,10,2026-01-18,Delivered
11,505,88,11,2024-11-04,Delivered
12,315,54,12,2026-03-24,Delivered
13,3642,33,13,2025-07-13,Delivered
14,5953,31,14,2025-02-05,Delivered
15,1760,52,15,2025-04-24,Delivered
16,6647,91,16,2025-06-07,Delivered
17,5854,50,17,2025-12-19,Pending
18,5413,71,18,2026-05-28,Delivered
19,3693,10,19,2026-04-18,Pending
20,7576,5,20,2026-01-26,Cancelled
21,7040,30,21,2025-06-04,Cancelled
22,4503,48,22,2025-05-15,Cancelled
23,4810,21,23,2025-06-18,Delivered
24,5968,29,24,2024-11-19,Pending
25,1665,25,25,2025-04-05,Delivered
26,4999,93,26,2025-09-12,Returned
27,7821,68,27,2025-10-02,Delivered
28,9269,51,28,2025-02-16,Cancelled
29,5693,47,29,2025-01-24,Pending
30,1956,92,30,2024-11-26,Delivered
31,20,30,31,2026-04-08,Shipped
32,9876,53,32,2025-01-28,Delivered
33,192,62,33,2025-08-13,Delivered
34,6785,59,34,2026-04-08,Delivered
35,1020,47,35,2026-03-27,Delivered
36,6133,95,36,2025-12-26,Delivered
37,319,14,37,2025-12-16,Delivered
38,5665,11,38,2025-02-11,Pending
39,590,3,39,2026-05-03,Delivered
40,2938,45,40,2026-08-01,Delivered
41,2907,22,41,2025-05-02,Delivered
42,3224,15,42,2025-11-27,Delivered
43,823,98,43,2025-06-03,Delivered
44,735,65,44,2025-12-27,Delivered
45,4962,36,45,2026-07-28,Pending
46,1702,64,46,2025-07-31,Delivered
47,7717,89,47,2025-10-27,Delivered
48,7129,36,48,2026-03-06,Delivered
49,3503,4,49,2026-04-17,Pending
50,1286,82,50,2025-05-12,Delivered
51,7148,66,51,2026-03-12,Delivered
52,9517,82,52,2025-06-06,Shipped
53,1367,39,53,2025-01-14,Delivered
54,6372,12,54,2026-02-19,Delivered
55,5971,47,55,2024-09-16,Shipped
56,7147,7,56,2024-10-06,Delivered
57,6245,32,57,2026-07-19,Delivered
58,6226,80,58,2025-03-03,Delivered
59,7968,26,59,2025-02-19,Delivered
60,279,89,60,2025-03-05,Delivered
61,5031,82,61,2025-06-14,Delivered
62,8528,20,62,2025-06-29,Returned
63,1602,71,63,2026-07-09,Pending
64,6580,46,64,2024-10-30,Delivered
65,9242,30,65,2026-04-23,Delivered
66,3204,36,66,2025-11-21,Delivered
67,7933,22,67,2024-12-27,Returned
68,2356,100,68,2024-12-11,Cancelled
69,625,84,69,2025-02-26,Delivered
70,5039,23,70,2025-09-19,Delivered
71,6631,73,71,2025-11-06,Delivered
72,9200,15,72,2024-12-14,Delivered
73,9082,44,73,2026-02-27,Delivered
74,8577,87,74,2025-04-24,Delivered
75,9953,80,75,2026-07-30,Delivered
76,8379,6,76,2025-11-04,Cancelled
77,2970,65,77,2025-11-07,Delivered
78,4416,69,78,2026-01-21,Delivered
79,7708,78,79,2024-11-01,Delivered
80,8285,78,80,2025-02-10,Delivered
81,3812,36,81,2025-09-06,Delivered
82,7107,66,82,2025-08-04,Delivered
83,103,78,83,2025-12-19,Delivered
84,6444,42,84,2024-08-20,Delivered
85,137,23,85,2026-03-18,Delivered
86,5186,50,86,2026-03-29,Delivered
87,4933,35,87,2025-12-25,Delivered
88,4598,3,88,2026-01-21,Cancelled
89,4625,21,89,2024-09-19,Shipped
90,7418,16,90,2024-11-05,Delivered
91,4450,29,91,2026-07-27,Delivered
92,3028,27,92,2026-05-19,Delivered
93,9164,76,93,2025-10-23,Delivered
94,118,74,94,2026-01-16,Returned
95,1770,84,95,2025-05-27,Returned
96,7306,38,96,2026-04-21,Pending
97,3273,18,97,2024-09-14,Delivered
98,7818,34,98,2025-10-27,Delivered
99,8709,27,99,2025-02-26,Delivered
100,4828,57,100,2025-11-04,Cancelled
101,2314,94,101,2024-10-28,Delivered
102,8676,37,102,2025-03-12,Delivered
103,6446,88,103,2025-07-25,Delivered
104,3131,4,104,2024-08-09,Delivered
105,3892,29,105,2024-10-01,Delivered
106,6911,19,106,2025-12-27,Delivered
107,7239,72,107,2026-03-28,Cancelled
108,2891,74,108,2026-03-09,Cancelled
109,5469,26,109,2024-09-12,Delivered
110,4410,89,110,2025-06-13,Delivered
111,6087,96,111,2026-05-04,Delivered
112,7885,36,112,2025-11-04,Delivered
113,4647,38,113,2025-02-10,Delivered
114,384,50,114,2026-02-07,Delivered
115,3694,89,115,2025-08-09,Delivered
116,883,31,116,2026-01-10,Delivered
117,2291,64,117,2025-02-27,Delivered
118,4515,41,118,2024-08-26,Delivered
119,8410,83,119,2025-12-13,Delivered
120,3289,8,120,2026-01-30,Cancelled
121,1193,71,121,2025-01-19,Pending
122,8969,88,122,2025-12-18,Cancelled
123,2599,37,123,2026-06-13,Delivered
124,3166,75,124,2026-05-09,Delivered
125,4852,60,125,2025-02-02,Delivered
126,4633,69,126,2026-06-16,Delivered
127,6854,3,127,2025-07-22,Delivered
128,2599,72,128,2025-09-28,Delivered
129,8865,2,129,2025-07-06,Delivered
130,4844,88,130,2024-12-14,Delivered
131,4280,57,131,2026-07-08,Delivered
132,1559,63,132,2025-10-03,Delivered
133,1677,47,133,2025-09-14,Delivered
134,5265,39,134,2026-05-27,Delivered
135,2600,58,135,2024-10-25,Delivered
136,1654,82,136,2025-09-04,Returned
137,1868,82,137,2025-12-31,Delivered
138,3317,7,138,2024-11-16,Shipped
139,7462,57,139,2025-06-14,Returned
140,608,94,140,2025-02-15,Delivered
141,65,22,141,2026-08-03,Delivered
142,2101,48,142,2024-08-23,Delivered
143,7287,90,143,2025-06-12,Delivered
144,3278,39,144,2026-03-17,Delivered
145,1610,2,145,2025-01-31,Pending
146,7681,78,146,2026-05-10,Delivered
147,8024,32,147,2025-10-04,Delivered
148,584,9,148,2025-09-29,Delivered
149,1042,35,149,2026-06-03,Delivered
150,1147,22,150,2025-03-18,Cancelled
151,7976,46,151,2026-06-30,Shipped
152,4859,11,152,2024-09-02,Delivered
153,5573,85,153,2025-08-22,Returned
154,6204,93,154,2025-05-24,Delivered
155,4315,76,155,2025-05-10,Delivered
156,4514,31,156,2025-07-25,Delivered
157,8099,15,157,2024-12-19,Delivered
158,3289,7,158,2025-04-07,Delivered
159,5053,96,159,2024-11-12,Delivered
160,8251,90,160,2026-02-25,Delivered
161,5783,96,161,2025-12-11,Delivered
162,4476,10,162,2025-04-22,Delivered
163,1426,52,163,2026-04-22,Delivered
164,3172,45,164,2024-09-07,Delivered
165,4718,51,165,2025-12-13,Delivered
166,4582,22,166,2025-10-02,Delivered
167,9116,56,167,2024-11-28,Delivered
168,6223,82,168,2025-06-15,Delivered
169,2047,37,169,2026-01-28,Delivered
170,6801,17,170,2025-03-26,Delivered
171,8577,51,171,2024-11-04,Delivered
172,2075,43,172,2026-04-26,Delivered
173,2506,12,173,2025-05-19,Delivered
174,807,22,174,2024-10-11,Delivered
175,5942,4,175,2025-03-03,Returned
176,7008,58,176,2024-11-23,Delivered
177,2998,3,177,2026-02-16,Delivered
178,8149,56,178,2026-01-29,Delivered
179,9801,43,179,2026-01-27,Delivered
180,3602,98,180,2025-01-14,Delivered
181,7429,17,181,2025-03-22,Delivered
182,8110,6,182,2025-05-12,Cancelled
183,470,61,183,2025-10-18,Delivered
184,4174,94,184,2025-12-21,Delivered
185,7776,37,185,2024-12-15,Delivered
186,8048,42,186,2025-06-16,Delivered
187,6560,1,187,2025-05-24,Delivered
188,7038,9,188,2024-12-15,Returned
189,3444,28,189,2026-01-07,Cancelled
190,2524,68,190,2025-03-08,Delivered
191,6556,95,191,2025-05-01,Delivered
192,5853,45,192,2024-11-08,Delivered
193,2290,95,193,2025-12-25,Delivered
194,8418,29,194,2024-12-12,Delivered
195,822,47,195,2025-08-17,Delivered
196,4750,88,196,2024-11-20,Delivered
197,1704,16,197,2026-04-14,Delivered
198,6352,25,198,2025-03-29,Delivered
199,7771,37,199,2025-08-17,Delivered
200,7020,8,200,2026-07-22,Delivered
201,3079,43,201,2025-05-19,Delivered
202,402,13,202,2025-05-13,Pending
203,6646,91,203,2024-10-08,Delivered
204,2781,11,204,2025-06-09,Delivered
205,2440,96,205,2025-06-25,Shipped
206,867,94,206,2026-02-04,Delivered
207,1252,2,207,2024-11-16,Delivered
208,6271,10,208,2025-01-19,Delivered
209,806,56,209,2025-02-10,Delivered
210,951,96,210,2025-08-10,Delivered
211,9906,48,211,2025-08-20,Delivered
212,5809,77,212,2024-12-30,Delivered
213,7198,35,213,2025-07-15,Delivered
214,8592,59,214,2025-11-15,Delivered
215,8806,74,215,2025-11-22,Returned
216,4183,52,216,2025-08-23,Delivered
217,1871,57,217,2025-02-03,Delivered
218,4815,84,218,2026-05-25,Cancelled
219,8624,67,219,2025-02-10,Delivered
220,5503,5,220,2026-05-01,Delivered
221,3349,50,221,2026-02-04,Delivered
222,6200,92,222,2025-03-19,Delivered
223,3625,37,223,2025-12-28,Delivered
224,7979,43,224,2025-02-17,Delivered
225,792,30,225,2026-05-02,Shipped
226,4908,24,226,2025-09-26,Delivered
227,532,81,227,2025-01-01,Delivered
228,9123,89,228,2026-07-15,Delivered
229,3235,96,229,2026-03-05,Shipped
230,133,76,230,2025-11-14,Delivered
231,6063,89,231,2025-10-23,Delivered
232,850,24,232,2025-06-13,Delivered
233,9417,63,233,2025-09-29,Delivered
234,7751,13,234,2026-07-02,Delivered
235,3439,47,235,2025-03-11,Delivered
236,8449,24,236,2025-01-15,Delivered
237,639,43,237,2026-04-14,Delivered
238,278,54,238,2026-02-10,Delivered
239,6052,85,239,2025-09-02,Delivered
240,6773,30,240,2025-07-09,Delivered
241,8498,89,241,2025-01-14,Shipped
242,6584,25,242,2025-04-19,Returned
243,9069,49,243,2025-03-15,Delivered
244,6370,14,244,2025-01-22,Delivered
245,5135,41,245,2025-04-07,Delivered
246,9938,1,246,2026-03-15,Pending
247,3121,60,247,2024-12-10,Delivered
248,5799,76,248,2026-03-12,Delivered
249,6253,22,249,2024-08-30,Delivered
250,1040,61,250,2024-09-27,Delivered
251,310,97,251,2026-01-11,Delivered
252,7022,75,252,2026-03-10,Delivered
253,5980,22,253,2025-02-07,Returned
