payment_id,payment_method,payment_status,payment_date
1,Card,Refunded,2025-07-23
2,UPI,Paid,2025-03-01
3,UPI,Paid,2025-06-27
4,UPI,Paid,2026-04-23
5,UPI,Paid,2024-08-17
6,Net Banking,Paid,2026-07-11
7,Net Banking,Pending,2024-10-28
8,Card,Paid,2025-07-04
9,Net Banking,Paid,2025-11-26
10,Wallet,Paid,2026-01-18
11,Card,Failed,2024-11-04
12,UPI,Paid,2026-03-24
13,UPI,Failed,2025-07-13
14,Net Banking,Paid,2025-02-05
15,Card,Paid,2025-04-24
16,Card,Paid,2025-06-07
17,Cash,Refunded,2025-12-19
18,UPI,Paid,2026-05-28
19,UPI,Paid,2026-04-18
20,UPI,Paid,2026-01-26
21,Net Banking,Paid,2025-06-04
22,UPI,Paid,2025-05-15
23,UPI,Paid,2025-06-18
24,Cash,Paid,2024-11-19
25,UPI,Paid,2025-04-05
26,UPI,Paid,2025-09-12
27,Wallet,Paid,2025-10-02
28,Card,Paid,2025-02-16
29,Card,Paid,2025-01-24
30,Net Banking,Paid,2024-11-26
31,Wallet,Paid,2026-04-08
32,UPI,Paid,2025-01-28
33,UPI,Paid,2025-08-13
34,UPI,Paid,2026-04-08
35,Cash,Paid,2026-03-27
36,UPI,Paid,2025-12-26
37,UPI,Paid,2025-12-16
38,Cash,Paid,2025-02-11
39,Net Banking,Pending,2026-05-03
40,Card,Paid,2026-08-01
41,UPI,Paid,2025-05-02
42,Card,Paid,2025-11-27
43,Card,Paid,2025-06-03
44,UPI,Paid,2025-12-27
45,Card,Paid,2026-07-28
46,UPI,Pending,2025-07-31
47,Cash,Paid,2025-10-27
48,UPI,Failed,2026-03-06
49,UPI,Paid,2026-04-17
50,Cash,Paid,2025-05-12
51,UPI,Paid,2026-03-12
52,Net Banking,Paid,2025-06-06
53,Card,Paid,2025-01-14
54,Card,Paid,2026-02-19
55,Card,Paid,2024-09-16
56,Card,Paid,2024-10-06
57,Cash,Paid,2026-07-19
58,Net Banking,Paid,2025-03-03
59,Card,Paid,2025-02-19
60,UPI,Paid,2025-03-05
61,UPI,Paid,2025-06-14
62,UPI,Paid,2025-06-29
63,Cash,Pending,2026-07-09
64,UPI,Paid,2024-10-30
65,Cash,Paid,2026-04-23
66,Net Banking,Paid,2025-11-21
67,Cash,Paid,2024-12-27
68,UPI,Paid,2024-12-11
69,Cash,Paid,2025-02-26
70,Card,Paid,2025-09-19
71,Net Banking,Paid,2025-11-06
72,UPI,Paid,2024-12-14
73,Cash,Paid,2026-02-27
74,UPI,Paid,2025-04-24
75,Card,Paid,2026-07-30
76,Card,Paid,2025-11-04
77,Card,Paid,2025-11-07
78,UPI,Paid,2026-01-21
79,Cash,Paid,2024-11-01
80,Cash,Paid,2025-02-10
81,Wallet,Paid,2025-09-06
82,UPI,Paid,2025-08-04
83,Card,Paid,2025-12-19
84,Net Banking,Pending,2024-08-20
85,Net Banking,Pending,2026-03-18
86,UPI,Paid,2026-03-29
87,Cash,Paid,2025-12-25
88,Net Banking,Paid,2026-01-21
89,Wallet,Paid,2024-09-19
90,UPI,Paid,2024-11-05
91,Net Banking,Paid,2026-07-27
92,UPI,Pending,2026-05-19
93,Cash,Paid,2025-10-23
94,UPI,Pending,2026-01-16
95,Card,Paid,2025-05-27
96,Card,Paid,2026-04-21
97,UPI,Paid,2024-09-14
98,Cash,Pending,2025-10-27
99,UPI,Paid,2025-02-26
100,Net Banking,Paid,2025-11-04
101,Cash,Paid,2024-10-28
102,Card,Failed,2025-03-12
103,Card,Paid,2025-07-25
104,Card,Paid,2024-08-09
105,Wallet,Paid,2024-10-01
106,UPI,Paid,2025-12-27
107,Card,Paid,2026-03-28
108,UPI,Paid,2026-03-09
109,UPI,Paid,2024-09-12
110,UPI,Paid,2025-06-13
111,UPI,Paid,2026-05-04
112,Net Banking,Paid,2025-11-04
113,Card,Paid,2025-02-10
114,UPI,Paid,2026-02-07
115,Cash,Paid,2025-08-09
116,UPI,Paid,2026-01-10
117,UPI,Paid,2025-02-27
118,Card,Paid,2024-08-26
119,UPI,Paid,2025-12-13
120,Cash,Paid,2026-01-30
121,UPI,Paid,2025-01-19
122,UPI,Paid,2025-12-18
123,UPI,Paid,2026-06-13
124,UPI,Paid,2026-05-09
125,UPI,Paid,2025-02-02
126,UPI,Paid,2026-06-16
127,UPI,Paid,2025-07-22
128,UPI,Paid,2025-09-28
129,Card,Paid,2025-07-06
130,Card,Paid,2024-12-14
131,Card,Paid,2026-07-08
132,UPI,Paid,2025-10-03
133,Cash,Paid,2025-09-14
134,UPI,Failed,2026-05-27
135,Cash,Paid,2024-10-25
136,UPI,Paid,2025-09-04
137,Cash,Paid,2025-12-31
138,UPI,Paid,2024-11-16
139,Cash,Paid,2025-06-14
140,Card,Paid,2025-02-15
141,UPI,Paid,2026-08-03
142,Cash,Paid,2024-08-23
143,UPI,Paid,2025-06-12
144,Card,Paid,2026-03-17
145,Card,Paid,2025-01-31
146,Cash,Paid,2026-05-10
147,Card,Refunded,2025-10-04
148,UPI,Refunded,2025-09-29
149,Card,Pending,2026-06-03
150,Card,Paid,2025-03-18
151,Card,Pending,2026-06-30
152,Card,Paid,2024-09-02
153,Cash,Paid,2025-08-22
154,UPI,Paid,2025-05-24
155,UPI,Paid,2025-05-10
156,Wallet,Paid,2025-07-25
157,UPI,Paid,2024-12-19
158,UPI,Paid,2025-04-07
159,UPI,Pending,2024-11-12
160,Cash,Paid,2026-02-25
161,UPI,Failed,2025-12-11
162,UPI,Paid,2025-04-22
163,UPI,Paid,2026-04-22
164,Cash,Paid,2024-09-07
165,Card,Paid,2025-12-13
166,Cash,Paid,2025-10-02
167,UPI,Pending,2024-11-28
168,UPI,Failed,2025-06-15
169,UPI,Paid,2026-01-28
170,Cash,Failed,2025-03-26
171,Card,Paid,2024-11-04
172,UPI,Paid,2026-04-26
173,Cash,Paid,2025-05-19
174,UPI,Paid,2024-10-11
175,Cash,Paid,2025-03-03
176,UPI,Paid,2024-11-23
177,Card,Paid,2026-02-16
178,Net Banking,Paid,2026-01-29
179,UPI,Paid,2026-01-27
180,UPI,Paid,2025-01-14
181,UPI,Failed,2025-03-22
182,UPI,Paid,2025-05-12
183,UPI,Paid,2025-10-18
184,UPI,Paid,2025-12-21
185,Card,Paid,2024-12-15
186,UPI,Paid,2025-06-16
187,UPI,Paid,2025-05-24
188,Cash,Paid,2024-12-15
189,Card,Paid,2026-01-07
190,UPI,Failed,2025-03-08
191,UPI,Paid,2025-05-01
192,UPI,Paid,2024-11-08
193,Net Banking,Paid,2025-12-25
194,UPI,Paid,2024-12-12
195,UPI,Paid,2025-08-17
196,Card,Paid,2024-11-20
197,UPI,Paid,2026-04-14
198,UPI,Paid,2025-03-29
199,UPI,Paid,2025-08-17
200,UPI,Paid,2026-07-22
201,Cash,Failed,2025-05-19
202,Card,Paid,2025-05-13
203,UPI,Paid,2024-10-08
204,Wallet,Paid,2025-06-09
205,Card,Paid,2025-06-25
206,Wallet,Paid,2026-02-04
207,UPI,Paid,2024-11-16
208,Cash,Paid,2025-01-19
209,Card,Paid,2025-02-10
210,Card,Paid,2025-08-10
211,Net Banking,Paid,2025-08-20
212,UPI,Paid,2024-12-30
213,UPI,Paid,2025-07-15
214,Net Banking,Paid,2025-11-15
215,Net Banking,Paid,2025-11-22
216,Cash,Paid,2025-08-23
217,Card,Paid,2025-02-03
218,UPI,Paid,2026-05-25
219,Cash,Paid,2025-02-10
220,Net Banking,Paid,2026-05-01
221,UPI,Paid,2026-02-04
222,Card,Paid,2025-03-19
223,Net Banking,Paid,2025-12-28
224,Cash,Paid,2025-02-17
225,Net Banking,Paid,2026-05-02
226,Card,Paid,2025-09-26
227,Card,Paid,2025-01-01
228,UPI,Paid,2026-07-15
229,Cash,Paid,2026-03-05
230,Card,Paid,2025-11-14
231,UPI,Paid,2025-10-23
232,UPI,Paid,2025-06-13
233,UPI,Pending,2025-09-29
234,UPI,Refunded,2026-07-02
235,Card,Paid,2025-03-11
236,Card,Paid,2025-01-15
237,Card,Paid,2026-04-14
238,Card,Paid,2026-02-10
239,Card,Paid,2025-09-02
240,Cash,Paid,2025-07-09
241,Card,Paid,2025-01-14
242,UPI,Paid,2025-04-19
243,UPI,Paid,2025-03-15
244,UPI,Paid,2025-01-22
245,UPI,Paid,2025-04-07
246,UPI,Paid,2026-03-15
247,UPI,Paid,2024-12-10
248,Cash,Paid,2026-03-12
249,UPI,Paid,2024-08-30
250,Cash,Paid,2024-09-27
251,UPI,Paid,2026-01-11
252,Cash,Paid,2026-03-10
253,Cash,Paid,2025-02-07
254,Net Banking,Failed,2024-09-03
255,Card,Paid,2026-03-31
256,Net Banking,Paid,2025-03-13
257,UPI,Paid,2026-08-01
258,Card,Paid,2025-08-08
259,UPI,Failed,2025-03-22
260,UPI,Paid,2025-11-16
261,UPI,Paid,2026-02-07
262,UPI,Paid,2024-10-17
263,Card,Paid,2025-10-26
264,Net Banking,Paid,2025-10-28
265,Card,Paid,2026-07-03
266,UPI,Paid,2025-06-13
267,Wallet,Paid,2025-06-01
268,Wallet,Paid,2024-08-08
269,UPI,Paid,2025-06-04
270,Net Banking,Paid,2025-11-05
271,Cash,Paid,2025-05-30
272,Cash,Paid,2025-11-03
273,Cash,Pending,2024-09-09
274,Card,Paid,2025-04-22
275,Cash,Paid,2026-07-24
276,Cash,Paid,2025-06-06
277,Cash,Paid,2024-12-15
278,UPI,Failed,2025-04-21
279,UPI,Paid,2025-05-11
