product_id,category_id,sku,product_name,brand,unit_price,cost_price,rating
1,21,SKU-21-00001,Apple Consectetur Est,Apple,920.64,722.77,3.1
2,24,SKU-24-00002,Apple Magni Numquam,Apple,26297.32,16949.82,2.7
3,14,SKU-14-00003,Samsung Unde Recusandae,Samsung,1051.08,841.95,3.8
4,1,SKU-01-00004,Boat Laborum Assumenda,Boat,7285.89,5051.06,3.9
5,8,SKU-08-00005,Philips Eum Ratione,Philips,22369.5,14772.72,2.5
6,26,SKU-26-00006,Sony Ipsum Officiis,Sony,22783.19,17483.67,2.9
7,25,SKU-25-00007,Adidas Minima Magni,Adidas,3494.01,2645.04,3.4
8,12,SKU-12-00008,OnePlus Quia Nam,OnePlus,7820.3,6686.57,3.6
9,4,SKU-04-00009,Puma Nisi Quibusdam,Puma,2643.49,2062.12,4.1
10,29,SKU-29-00010,Adidas Est Earum,Adidas,21237.22,14476.07,2.6
11,8,SKU-08-00011,Nike Vitae Labore,Nike,37807.51,24632.02,4.7
12,13,SKU-13-00012,Nike Vero Vero,Nike,17373.61,11389.92,2.9
13,12,SKU-12-00013,LG Iste Placeat,LG,24607.23,16787.36,4.2
14,3,SKU-03-00014,OnePlus Ducimus Nam,OnePlus,22122.01,15910.96,3.1
15,15,SKU-15-00015,Puma At Perferendis,Puma,10685.69,6821.7,4.2
16,8,SKU-08-00016,Tata Consequuntur Qui,Tata,12227.15,8174.64,2.6
17,27,SKU-27-00017,Samsung Odio Voluptatibus,Samsung,26804.26,20145.64,2.7
18,30,SKU-30-00018,OnePlus Assumenda Quisquam,OnePlus,28313.98,21921.55,4.1
19,13,SKU-13-00019,Tata Illum Quo,Tata,14628.01,11525.41,3.1
20,18,SKU-18-00020,Boat Consequuntur Assumenda,Boat,9385.95,6642.27,4.7
21,13,SKU-13-00021,Adidas Amet Nisi,Adidas,8891.58,5561.09,3.8
22,3,SKU-03-00022,Samsung Nam Dolor,Samsung,26254.27,21541.46,2.9
23,22,SKU-22-00023,Puma Tenetur Natus,Puma,19781.79,14950.58,4.0
24,15,SKU-15-00024,Boat Sit Possimus,Boat,8897.63,6360.21,4.9
25,22,SKU-22-00025,Reliance Eveniet Laboriosam,Reliance,4570.68,2952.34,4.4
26,25,SKU-25-00026,Tata Cumque Rerum,Tata,10987.86,8570.37,2.9
27,1,SKU-01-00027,Reliance Est Quia,Reliance,27791.79,21908.74,3.8
28,6,SKU-06-00028,Boat Laborum Ratione,Boat,35189.19,22824.43,3.2
29,21,SKU-21-00029,Boat Aliquam Commodi,Boat,18602.64,15263.36,4.4
30,18,SKU-18-00030,Boat Dolores Odio,Boat,32607.19,22970.49,3.7
31,4,SKU-04-00031,Adidas Est Facere,Adidas,33503.26,21980.17,3.3
32,2,SKU-02-00032,LG Autem Porro,LG,34615.6,21962.44,2.7
33,16,SKU-16-00033,Apple Et Cupiditate,Apple,33981.12,24451.81,2.8
34,22,SKU-22-00034,Philips Suscipit Eos,Philips,28987.34,23676.53,3.8
35,20,SKU-20-00035,Puma Commodi Nihil,Puma,37808.89,24112.64,4.4
36,23,SKU-23-00036,LG Ducimus Aliquid,LG,23735.64,17852.43,4.2
37,12,SKU-12-00037,Philips Aspernatur Aspernatur,Philips,30446.82,22500.39,3.1
38,3,SKU-03-00038,Adidas Mollitia Dicta,Adidas,872.79,623.75,4.0
39,1,SKU-01-00039,Apple Excepturi Nostrum,Apple,20853.62,17725.24,2.7
40,2,SKU-02-00040,Adidas Consequatur Omnis,Adidas,2343.68,1864.35,4.2
41,7,SKU-07-00041,Boat Accusamus Provident,Boat,5332.81,3394.57,3.9
42,16,SKU-16-00042,LG Dicta Tempora,LG,29718.15,19637.02,3.0
43,4,SKU-04-00043,Tata Distinctio Vero,Tata,14523.06,10833.17,3.7
44,24,SKU-24-00044,Samsung Consequuntur Sequi,Samsung,26866.66,16866.78,2.7
45,13,SKU-13-00045,Reliance Quae Officia,Reliance,13145.68,8548.63,3.1
46,7,SKU-07-00046,Boat A Architecto,Boat,15100.72,11270.48,3.2
47,8,SKU-08-00047,Apple Magni Sequi,Apple,17119.66,11133.96,3.9
48,2,SKU-02-00048,Tata Vel Quia,Tata,38128.04,24982.13,4.9
49,30,SKU-30-00049,LG Molestiae Iste,LG,5804.18,4241.15,3.0
50,13,SKU-13-00050,Samsung Corrupti Incidunt,Samsung,4833.45,4199.46,3.5
51,30,SKU-30-00051,Philips Quasi Ut,Philips,10540.92,7202.71,4.3
52,26,SKU-26-00052,Boat Iste Sed,Boat,22698.88,16580.6,3.0
53,7,SKU-07-00053,Samsung Ratione Ratione,Samsung,20242.92,14521.59,4.4
54,2,SKU-02-00054,Samsung Omnis Quam,Samsung,20157.06,14646.02,4.6
55,6,SKU-06-00055,Samsung Qui Sunt,Samsung,28492.95,24023.39,3.0
56,20,SKU-20-00056,Apple Nam Sapiente,Apple,21239.79,16912.79,2.8
57,29,SKU-29-00057,OnePlus Perspiciatis Ab,OnePlus,8832.31,6230.76,4.0
58,14,SKU-14-00058,Tata Harum Blanditiis,Tata,20271.01,14633.44,4.8
59,7,SKU-07-00059,Tata Quod Perspiciatis,Tata,22549.34,17933.18,3.5
60,22,SKU-22-00060,Tata Temporibus Tempore,Tata,9782.47,7569.93,4.4
61,3,SKU-03-00061,Samsung Modi Expedita,Samsung,18410.09,11511.31,5.0
62,3,SKU-03-00062,Boat Nam Aliquam,Boat,6864.01,5407.54,4.8
63,29,SKU-29-00063,Apple Dolores Voluptatum,Apple,28950.2,21993.83,2.9
64,27,SKU-27-00064,Boat Hic Quod,Boat,25110.34,17618.14,5.0
65,21,SKU-21-00065,Boat Perspiciatis Quasi,Boat,447.42,294.8,3.2
66,22,SKU-22-00066,Apple Vero Pariatur,Apple,28420.15,23479.36,2.8
67,4,SKU-04-00067,Reliance Illum Rem,Reliance,17657.07,13875.27,4.0
68,23,SKU-23-00068,Adidas Tempora Ipsum,Adidas,7420.44,5169.57,3.2
69,16,SKU-16-00069,Nike Harum Fugit,Nike,34660.51,22642.88,2.7
70,14,SKU-14-00070,Nike Sapiente Adipisci,Nike,1557.21,1197.76,2.8
71,9,SKU-09-00071,Sony Error Ut,Sony,25946.95,18556.65,3.6
72,1,SKU-01-00072,Apple Fugit Recusandae,Apple,3053.9,1973.57,4.8
73,18,SKU-18-00073,Samsung Officia Quam,Samsung,29487.27,20881.42,2.9
74,5,SKU-05-00074,Samsung Ex Quia,Samsung,12087.54,7775.63,4.5
75,28,SKU-28-00075,Samsung Dolores Officia,Samsung,27981.14,22483.22,3.1
76,4,SKU-04-00076,Adidas Nam Eveniet,Adidas,30221.81,19524.89,3.5
77,20,SKU-20-00077,Reliance Accusamus Quas,Reliance,6192.82,3948.38,4.7
78,26,SKU-26-00078,Sony Aliquid Optio,Sony,25600.26,22047.26,4.3
79,11,SKU-11-00079,Puma Tempore Ipsa,Puma,30892.99,20075.65,4.5
80,9,SKU-09-00080,Sony Reprehenderit Quos,Sony,23620.02,19705.63,4.7
81,28,SKU-28-00081,Philips Modi Amet,Philips,8556.37,5638.6,3.7
82,10,SKU-10-00082,LG Nulla Tempore,LG,8176.79,5650.8,3.5
83,9,SKU-09-00083,Apple A Soluta,Apple,30838.47,24175.54,4.1
84,13,SKU-13-00084,Tata Voluptatibus Corrupti,Tata,34129.39,24530.63,4.8
85,4,SKU-04-00085,Nike Saepe Aliquid,Nike,7197.49,4546.34,3.2
86,4,SKU-04-00086,OnePlus Ratione Officia,OnePlus,16139.02,10920.64,3.3
87,20,SKU-20-00087,Boat Similique Natus,Boat,4632.58,2979.58,3.0
88,2,SKU-02-00088,Reliance Totam Quidem,Reliance,15165.24,10957.83,4.5
89,22,SKU-22-00089,Reliance Fuga Fuga,Reliance,34837.77,23512.55,3.0
90,14,SKU-14-00090,Apple Odit Tenetur,Apple,37117.21,23726.97,4.1
91,22,SKU-22-00091,Apple Rem Commodi,Apple,23160.73,18021.88,3.3
92,14,SKU-14-00092,Adidas Esse Temporibus,Adidas,12984.12,10119.77,2.8
93,14,SKU-14-00093,Tata Fuga Iusto,Tata,34209.55,23515.06,4.8
94,20,SKU-20-00094,OnePlus Maiores Id,OnePlus,10605.08,7593.65,2.5
95,10,SKU-10-00095,LG Perspiciatis Laborum,LG,15244.67,10804.21,4.1
96,15,SKU-15-00096,Philips Aperiam Fuga,Philips,13844.63,11109.78,3.7
97,29,SKU-29-00097,Reliance Est Cupiditate,Reliance,5139.16,4325.32,3.8
98,21,SKU-21-00098,OnePlus Incidunt Inventore,OnePlus,12823.77,8446.19,4.4
99,22,SKU-22-00099,Nike Minima Praesentium,Nike,7057.77,5693.55,2.6
100,8,SKU-08-00100,Philips Explicabo Nulla,Philips,22917.04,15320.72,3.6
101,29,SKU-29-00101,Tata Delectus Exercitationem,Tata,21265.28,14434.21,3.5
102,13,SKU-13-00102,LG Corrupti Impedit,LG,5508.66,3774.53,4.7
103,28,SKU-28-00103,Apple Error Sit,Apple,24323.69,19482.67,4.5
104,23,SKU-23-00104,Boat Dolores Perferendis,Boat,16343.92,11667.29,4.8
105,4,SKU-04-00105,Philips Exercitationem Velit,Philips,4648.28,3420.14,3.8
106,18,SKU-18-00106,OnePlus Repudiandae Ea,OnePlus,11919.97,8000.72,3.6
107,27,SKU-27-00107,Reliance Mollitia Qui,Reliance,29942.52,22311.31,4.8
